"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 08 06:45:57 GMT 2023","Sun Oct 08 06:46:03 GMT 2023","5375","chromium","cart-page.spec.js","","","","Add Gift wrapping in Cart",""
"passed","Sun Oct 08 06:46:05 GMT 2023","Sun Oct 08 06:46:07 GMT 2023","2062","chromium","compare-page.spec.js","","","","Clear Compare Products List",""
"passed","Sun Oct 08 06:46:15 GMT 2023","Sun Oct 08 06:46:16 GMT 2023","639","chromium","login-page.spec.js","","","","Login User with empty email and password",""
"passed","Sun Oct 08 06:46:00 GMT 2023","Sun Oct 08 06:46:01 GMT 2023","953","chromium","category-page.spec.js","","","","Navigate to sub category page from side bar",""
"passed","Sun Oct 08 06:46:06 GMT 2023","Sun Oct 08 06:46:15 GMT 2023","9063","chromium","checkout-page.spec.js","","","","Checkout as a user",""
"passed","Sun Oct 08 06:46:20 GMT 2023","Sun Oct 08 06:46:22 GMT 2023","1909","chromium","wishlist-page.spec.js","","","","Edit Product's quantity in Wishlist",""
"passed","Sun Oct 08 06:46:03 GMT 2023","Sun Oct 08 06:46:05 GMT 2023","2266","chromium","compare-page.spec.js","","","","Remove Product from Compare Products List",""
"passed","Sun Oct 08 06:46:15 GMT 2023","Sun Oct 08 06:46:20 GMT 2023","4784","chromium","login-page.spec.js","","","","Login User with wrong email and correct password",""
"passed","Sun Oct 08 06:45:57 GMT 2023","Sun Oct 08 06:46:03 GMT 2023","6098","chromium","cart-page.spec.js","","","","Estimate shipping in Cart",""
"passed","Sun Oct 08 06:46:10 GMT 2023","Sun Oct 08 06:46:15 GMT 2023","5062","chromium","login-page.spec.js","","","","Login User with correct email and password",""
"passed","Sun Oct 08 06:46:09 GMT 2023","Sun Oct 08 06:46:10 GMT 2023","1361","chromium","home-page.spec.js","","","","Add Product to Compare Products List from Home Page",""
"passed","Sun Oct 08 06:46:22 GMT 2023","Sun Oct 08 06:46:23 GMT 2023","1803","chromium","wishlist-page.spec.js","","","","Add Product to Cart from Wishlist Page",""
"passed","Sun Oct 08 06:46:07 GMT 2023","Sun Oct 08 06:46:09 GMT 2023","1623","chromium","home-page.spec.js","","","","Add Product to Cart from Home Page",""
"passed","Sun Oct 08 06:46:21 GMT 2023","Sun Oct 08 06:46:22 GMT 2023","1782","chromium","wishlist-page.spec.js","","","","Remove Product from Wishlist",""
"passed","Sun Oct 08 06:46:13 GMT 2023","Sun Oct 08 06:46:18 GMT 2023","4813","chromium","login-page.spec.js","","","","Login User with correct email and wrong password",""
"passed","Sun Oct 08 06:45:53 GMT 2023","Sun Oct 08 06:45:57 GMT 2023","4197","chromium","cart-page.spec.js","","","","Remove Product from Cart",""
"passed","Sun Oct 08 06:45:57 GMT 2023","Sun Oct 08 06:46:00 GMT 2023","2396","chromium","category-page.spec.js","","","","View category products",""
"passed","Sun Oct 08 06:46:27 GMT 2023","Sun Oct 08 06:46:32 GMT 2023","5168","chromium","register-page.spec.js","","","","Register New User Account",""
"passed","Sun Oct 08 06:45:53 GMT 2023","Sun Oct 08 06:45:57 GMT 2023","4389","chromium","cart-page.spec.js","","","","Check continue shopping button in Cart",""
"passed","Sun Oct 08 06:46:03 GMT 2023","Sun Oct 08 06:46:08 GMT 2023","5534","chromium","checkout-page.spec.js","","","","Checkout as a guest",""
"passed","Sun Oct 08 06:46:18 GMT 2023","Sun Oct 08 06:46:19 GMT 2023","1632","chromium","search-page.spec.js","","","","Add Product in Cart from Search Page",""
"passed","Sun Oct 08 06:46:08 GMT 2023","Sun Oct 08 06:46:10 GMT 2023","1535","chromium","home-page.spec.js","","","","Add Product to Wishlist from Home Page",""
"passed","Sun Oct 08 06:46:19 GMT 2023","Sun Oct 08 06:46:21 GMT 2023","1332","chromium","search-page.spec.js","","","","Search the Product",""
"passed","Sun Oct 08 06:45:53 GMT 2023","Sun Oct 08 06:45:57 GMT 2023","4637","chromium","cart-page.spec.js","","","","Edit Product's quantity in Cart",""
